Block	Row	Column	ID	Name	M C7H2 2h Dex vs C7H2 2h EtOH	M C7H2 6h Dex vs C7H2 6h EtOH	M C7H2 12h Dex vs C7H2 12h EtOH	M C7H2 24h Dex vs C7H2 24h EtOH	A C7H2 2h Dex vs C7H2 2h EtOH	A C7H2 6h Dex vs C7H2 6h EtOH	A C7H2 12h Dex vs C7H2 12h EtOH	A C7H2 24h Dex vs C7H2 24h EtOH	C7H2 2h Dex vs C7H2 2h EtOH	C7H2 6h Dex vs C7H2 6h EtOH	C7H2 12h Dex vs C7H2 12h EtOH	C7H2 24h Dex vs C7H2 24h EtOH	w.2h	w.6h	w.12h	w.24h
1	 1	 1	BA10001	Control_1	0.90108356891704	0.950186244279408	0.0645797883791879	0.0341945461207533	14.7928143372901	14.6971920058956	15.4446177737376	15.4588222421887	FALSE	FALSE	FALSE	FALSE	4	4	4	4
1	 1	 5	BA10001	Control_1	0.865303432069467	1.02060408481826	0.00845156703498695	0.041522888048279	14.7320863126381	14.7407704478961	15.3899019155734	15.4258243987412	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	 9	BA10001	Control_1	0.959856138655601	1.00978326249702	0.0519921943268074	0.0218553817357243	14.7987075094987	14.5992052946810	15.3369689234099	15.3151927180382	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	13	BA10001	Control_1	0.962246682337287	1.02719421580064	0.020229463795987	0.0311939202380689	14.9316106838097	14.5471594391889	15.161868913349	15.4608585658437	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	17	BA10001	Control_1	0.972784271032955	1.11781679737478	0.0467163797357593	0.0524271460402996	14.9325189922797	14.6037267952611	15.2929764772473	15.2938311534507	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	21	BA10001	Control_1	0.931410031124335	1.14910884644781	0.0145106136153803	0.0073437808443888	14.5791724736375	14.3577684226605	15.0934382275887	15.2818860838068	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	25	BA10001	Control_1	0.985773790380168	1.13622100692021	0.04528186352033	0.0118952859463040	14.6722605663948	14.1428537903366	15.1914824445159	15.3170484110316	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 1	29	BA10001	Control_1	0.988393578028456	1.17356748073563	0.0264706922356464	-0.0208657185387295	14.7437188084657	14.2160635945098	15.0436845311427	15.3854402466583	FALSE	TRUE	FALSE	FALSE	4	4	4	4
1	 2	 1	BA10146	hsa_miR_146a	-0.186443632065859	0.0863608160954481	-0.169355457938764	0.0535926804013123	7.90057673809053	7.64720230573486	7.48125075133501	7.79728412960528	FALSE	FALSE	FALSE	FALSE	2	0	0	4
1	 2	 2	BA10166	hsa_miR_182	-0.125145042045425	-0.225516548228873	-0.233963272043735	0.240961989542972	7.51554803859516	7.8115287465427	7.48713554314803	7.64062585528434	FALSE	FALSE	FALSE	FALSE	0	2	4	4
1	 2	 3	BA10119	hsa_miR_122a	-0.0411221361371723	-0.166213586637690	0.16639614746503	0.0494591827623623	7.63922207471274	7.97140041640064	7.55440950765023	7.85853486291825	FALSE	FALSE	FALSE	FALSE	0	4	0	2
1	 2	 4	BA10111	hsa_miR_101	0.0660579205290164	1.54147865131140	-0.115567326540178	-0.0258717875469987	7.52135576918973	9.07394916163803	7.44417290720395	7.5654809192965	FALSE	TRUE	FALSE	FALSE	0	4	0	0
1	 2	 5	BA10246	hsa_miR_320	0.057264661570418	0.221987554206349	-0.231499693778318	0.43889961535257	10.0606721353469	9.99091918088082	9.90817422607804	9.97052384620506	FALSE	FALSE	FALSE	FALSE	4	4	4	4
1	 2	 6	BA10354	hsa_miR_410	-1.00643308787898	0.410890441492544	-0.85385032973024	0.00569413974033317	8.35040909159213	7.5349972024831	8.15875120734287	7.35988931667452	TRUE	FALSE	FALSE	FALSE	2	0	4	0
1	 2	 7	BA10114	hsa_miR_106a	0.108813609542004	0.112771981282535	-0.27672082288041	0.257939662814136	11.5485933014994	11.6534241383128	11.6951904856814	11.784655383587	FALSE	FALSE	FALSE	FALSE	4	4	4	4
1	 2	 8	BA10272	hsa_miR_370	0.094416731996187	0.474488227923965	-0.0994757815475955	-0.175196131510206	7.8897059214454	7.83891811545186	7.89872392360753	8.0597482028773	FALSE	FALSE	FALSE	FALSE	4	4	4	2
1	 2	 9	BA10305	hsa_miR_98	-0.202439186583101	0.0411486989008933	0.191376643791703	-0.053757965858626	8.22208085515481	7.76862673912051	7.65406335600514	7.97580171093207	FALSE	FALSE	FALSE	FALSE	2	4	2	2
1	 2	10	BA10156	hsa_miR_155	0.0217698285914132	0.0476484773037651	-0.278409462794752	0.55237330697336	9.88561505748582	9.92046712856762	9.00935863852354	9.71180238518715	FALSE	FALSE	FALSE	FALSE	4	4	2	4
1	 2	11	BA10194	hsa_miR_203	-0.0474531299123839	-0.40940964014625	0.0203928074232493	0.195235167052812	7.46222480806654	7.96905396186022	7.37221348071978	7.78461089828354	FALSE	FALSE	FALSE	FALSE	0	4	0	2
1	 2	12	BA10298	hsa_miR_7	0.171175949286516	-0.272375660747393	0.0622234528617476	0.0666105975644236	7.82845546822662	7.96456784187638	7.85388465552034	7.99066136422577	FALSE	FALSE	FALSE	FALSE	2	4	4	4
1	 2	13	BA10299	hsa_miR_9	0.0272238920111887	-0.0446954108326674	0.167755533580145	0.703532953663447	7.50653291450726	7.72604798245066	7.51053254449191	8.01049044972825	FALSE	FALSE	FALSE	FALSE	0	0	2	2
